거래금액,전용면적,년,면적 당 금액
"84,700",84.9134,202107,997.49
"85,000",84.705,202107,1003.48
"83,700",84.705,202107,988.14
"66,000",60,202107,1100
"69,500",60,202107,1158.33
"85,000",84.76,202107,1002.83
"55,100",98.22,202107,560.99
"83,500",59.82,202107,1395.85
"80,000",59.38,202107,1347.25
"81,500",84.76,202107,961.54
"91,000",114.85,202107,792.34
"78,000",84.92,202107,918.51
"103,000",84.98,202107,1212.05
"81,800",59.54,202107,1373.87
"69,500",59.98,202107,1158.72
"85,000",84.705,202107,1003.48
"95,000",84.99,202107,1117.78
"80,000",84.86,202107,942.73
"84,700",84.705,202107,999.94
"99,800",114.88,202107,868.73
"66,500",59.758,202107,1112.82
"73,000",84.76,202107,861.26
"94,000",59.99,202107,1566.93
"80,700",59.54,202107,1355.39
"80,000",84.92,202107,942.06
"76,000",84.89,202107,895.28
"55,500",59.64,202107,930.58
"89,000",134.27,202107,662.84
"64,000",49.94,202107,1281.54
"56,000",41.3,202107,1355.93
"67,500",49.94,202107,1351.62
"73,000",84.88,202107,860.04
"73,000",84.88,202107,860.04
"54,000",59.82,202107,902.71
"74,000",84.86,202107,872.02
"64,000",84.6,202107,756.5
"58,000",59.98,202107,966.99
"58,000",59.98,202107,966.99
"64,500",49.94,202107,1291.55
"84,500",84.9909,202107,994.22
"84,500",84.9909,202107,994.22
"85,000",134.27,202107,633.05
"78,000",84.79,202107,919.92
"52,000",59.96,202107,867.24
"64,500",84.6,202107,762.41
"54,500",72.7695,202107,748.94
"64,000",84.6,202107,756.5
"74,700",117.2775,202107,636.95
"69,000",49.94,202107,1381.66
"53,500",59.96,202107,892.26
"42,700",78.84,202107,541.6
"40,000",69.87,202107,572.49
"70,000",62.17,202107,1125.94
"72,500",84.88,202107,854.15
"75,000",84.88,202107,883.6
"87,300",84.41,202107,1034.24
"62,000",84.6,202107,732.86
"57,000",59.43,202107,959.11
"74,500",84.95,202107,876.99
"58,000",84.99,202107,682.43
"67,500",84.22,202107,801.47
"86,700",122.58,202107,707.29
"59,000",84.99,202107,694.2
"55,000",63.78,202107,862.34
"70,000",84.92,202107,824.31
"42,800",84.97,202107,503.71
"35,000",59.79,202107,585.38
"38,000",51.6,202107,736.43
"45,000",59.79,202107,752.63
"10,400",12.02,202107,865.22
"59,500",84.99,202107,700.08
"46,000",59.67,202107,770.91
"61,750",63.78,202107,968.17
"64,000",59.88,202107,1068.8
"69,800",84.93,202107,821.85
"51,800",84.98,202107,609.56
"31,000",77.71,202107,398.92
"54,000",84.98,202107,635.44
"40,800",77.71,202107,525.03
"79,000",84.86,202108,930.95
"65,500",59.67,202108,1097.7
"77,000",84.89,202108,907.06
"69,000",60,202108,1150
"88,000",84.58,202108,1040.44
"106,000",84.95,202108,1247.79
"71,000",59.98,202108,1183.73
"80,000",59.99,202108,1333.56
"86,000",59.33,202108,1449.52
"149,500",114.475,202108,1305.96
"105,000",84.29,202108,1245.7
"94,500",114.85,202108,822.81
"86,500",59.33,202108,1457.95
"72,500",59.98,202108,1208.74
"58,000",84.63,202108,685.34
"82,000",84.71,202108,968.01
"69,800",59.98,202108,1163.72
"113,000",84.67,202108,1334.59
"126,500",114.98,202108,1100.19
"85,000",84.705,202108,1003.48
"85,000",114.68,202108,741.19
"69,000",60,202108,1150
"84,000",84.86,202108,989.87
"89,000",59.6,202108,1493.29
"80,000",84.552,202108,946.16
"73,000",84.552,202108,863.37
"99,000",59.762,202108,1656.57
